入库编号;入库序号;序号/I.N.;零、部件图号及标准号/Sub Drawing No. & Standard;名称及规格/Name & Type;材  料/Materials;图幅/D size;数量/Qty.;单重/Sin Weight  (Kg);总重/Tot Weight  (Kg);备注及修订/Remark;外形尺寸;供货状态;拆分列;关联入库编号;关联入库序号
SWFCJ-09-001;1;1;SCD1604.09-1;煤篦体1;焊接件;A1;2;6056.56;12113.12;对称制作;1360X3279X6754;裸装;;;
SWFCJ-09-002;2;2;SCD1604.09-2;煤篦体2;焊接件;A1;2;7032.67;14065.34;对称制作;1360X3836X6754;裸装;;;
SWFCJ-09-003;3;3;SCD1604.09.003;振动电机;外购件;;4;390;1560;VB-75556-W;;原包装;;;
SWFCJ-09-004;4;4;SCD1604.09.004;螺栓 M36×110;8.8(镀锌);;24;1.21;29.04;GB/T 5782-2000;;箱装;;;
SWFCJ-09-005;5;5;SCD1604.09.005;螺母 M36;8.8(镀锌);;24;0.03;0.72;GB/T 6170-2000;;箱装;;;
SWFCJ-09-006;6;6;SCD1604.09.006;双耳止动垫圈 36;65Mn;;24;0.03;0.72;GB/T 855-1988;;箱装;;;
SWFCJ-09-007;7;7;SCD1604.09-3;振动杆;焊接件;A3;16;20.35;325.6;;;箱装;;;
SWFCJ-09-008;8;8;SCD1604.09.008;螺母 M56;8(镀锌);;32;1.09;34.88;GB/T 6170-2000;;箱装;;;
SWFCJ-09-009;9;9;SCD1604.09.009;垫圈 56;65Mn;;16;1.01;16.16;GB/T 93-1987;;箱装;;;
SWFCJ-09-010;10;10;SCD1604.09-4;弹簧导套;焊接件;A4;16;17.27;276.32;;;箱装;;;
SWFCJ-09-011;11;11;SCD1604.09-5;弹簧;55Si2Mn;A4;16;38.99;623.84;;;箱装;;;
SWFCJ-09-012;12;12;SCD1604.09-6;壁上底座;焊接件;A3;8;83.71;669.68;;300X460X500;裸装;;;
SWFCJ-09-013;13;13;SCD1604.09-7;地上底座;焊接件;A3;8;322.18;2577.44;;460X960X1070;裸装;;;
SWFCJ-09-014;14;14;SCD1604.09-8;销轴;35;A4;16;1.98;31.68;;;箱装;;;
SWFCJ-09-015;15;15;SCD1604.09-9;轴端挡板;Q235-B;A4;16;0.14;2.24;;;箱装;;;
SWFCJ-09-016;16;16;SCD1604.09.016;螺母 M12×30;8.8（镀锌）;;32;0.03;0.96;GB/T 5873-2000;;箱装;;;
SWFCJ-09-017;17;17;SCD1604.09.017;双耳止动垫圈 12;65Mn;;32;0.01;0.32;GB/T 855-1988;;箱装;;;
SWFCJ-09-018;18;18;SCD1604.09-10;防尘罩;焊接件;A3;4;46.17;184.68;;507X630X905;裸装;;;
SWFCJ-09-019;19;19;SCD1604.09.019;螺栓 M10×30;8.8(镀锌);;32;0.02;0.64;GB/T 5783-2000;;箱装;;;
SWFCJ-09-020;20;20;SCD1604.09.020;垫圈 10;8.8(镀锌);;32;0.01;0.32;GB/T 955-1987;;箱装;;;
